max_depth,Train,Validation,Test
1,0.204,0.204,0.203
2,0.204,0.204,0.203
3,0.236,0.236,0.236
4,0.258,0.258,0.258
5,0.273,0.273,0.272
6,0.285,0.284,0.284
7,0.293,0.293,0.293
8,0.301,0.301,0.3
9,0.307,0.307,0.306
10,0.316,0.314,0.314
11,0.324,0.321,0.32
12,0.332,0.326,0.325
13,0.34,0.331,0.33
14,0.349,0.335,0.334
15,0.358,0.338,0.337
16,0.368,0.341,0.341
17,0.378,0.344,0.343
18,0.389,0.347,0.346
19,0.399,0.349,0.348
20,0.41,0.351,0.35
21,0.421,0.352,0.352
22,0.432,0.353,0.353
23,0.443,0.355,0.354
24,0.453,0.356,0.355
25,0.463,0.356,0.356
26,0.472,0.357,0.357
27,0.48,0.358,0.358
28,0.488,0.359,0.359
29,0.496,0.359,0.359
30,0.503,0.36,0.36
